episode,Episode_reward
982,-132.00762075334328
983,-396.9175680860449
984,-261.8263686951787
985,-269.08189727238494
986,-135.81023931451827
987,-405.4542516361558
988,-577.1740887045335
989,-263.9296980420494
990,-547.8515649979227
991,-565.8303569689991
992,-1.3545502108405192
993,-619.875595639533
994,-403.7265832746543
995,-403.40997650253286
996,-136.74380110138017
997,-132.5720970196219
998,-420.9199990352272
999,-270.2660082394142
